record_type,form_id_number,eain_id,election_authority_id_number,state_issued
E,9718799,30886,C180033,MO
E,9718805,30887,1454163,CA
E,9718806,30888,22492,OR
E,9718807,30889,22472,OR
E,9718809,30890,22333,OR
E,9718811,30891,1445924,CA
E,9718812,30892,1454224,CA
E,9718813,30893,22182,OR
E,9718819,30894,1453913,CA
E,9718826,30896,1441880,CA
E,9718827,30897,1420753,CA
E,9718828,30898,22512,OR
E,9718829,30899,38782,IL
E,9718835,30900,1451050,CA
E,9718836,30901,1453887,CA
E,9718837,30902,1454122,CA
E,9718844,30903,1454120,CA
E,9718848,30904,1450172,CA
E,9718854,30905,9000307,PA
E,9718855,30906,PENDING,CA
E,9718863,30907,11199,NV
E,9718865,30908,00080942,TX
E,9718872,30914,C00817437,FD
E,9718880,30916,36522,NY
E,9718881,30917,175562,NY
E,9718884,30918,C211677,MO
E,9718888,30919,960772,CA
E,9718889,30920,1270707,CA
E,9718893,30921,C00826057,FD
E,9718904,30922,1243454,CA
E,9718905,30923,1291535,CA
E,9718907,30924,101254,AZ
E,9718919,30925,00086641,TX
E,9718925,30926,22323,OR
E,9718932,31041,216945,NY
E,9718960,30929,1454661,CA
E,9718963,30930,882891121,MI
E,9718968,30931,22306,OR
E,9718974,30932,824600125,MD
E,9718980,30933,14441,GA
E,9719002,30934,101249,AZ
E,9719003,30935,C222239,MO
E,9719004,30936,C222195,MO
E,9719038,30938,780657,CA
E,9719039,30939,1401119,CA
E,9719077,30940,,TN
E,9719096,30941,1454751,CA
E,9719108,30942,95493,MA
E,9719150,30944,1422022,CA
E,9719159,30945,20225043558,CO
E,9719206,30946,430935329,NY
E,9719219,30947,83562,FL
E,9719222,30948,87054,TX
E,9719239,30949,83566,FL
E,9719276,30950,83570,FL
E,9719299,30951,513260,MI
E,9719370,30952,0501784,WI
E,9719423,30953,00087070,TX
E,9719598,30954,38755,IL
E,9719614,30955,PENDING,CA
E,9719645,30958,00086682,TX
E,9719717,30959,00087029,TX
E,9719721,30960,418568,KY
E,9719724,30961,00087080,TX
E,9719725,30962,C221884,MO
E,9719794,30963,79461,FL
E,9719922,30964,148340,CA
E,9719931,30965,1455342,CA
E,9720104,30969,52242,NM
E,9720131,30970,C00826677,FD
E,9720161,30971,PAC-R--285,WA
E,9720172,30972,101284,AZ
E,9720628,30973,880590,CA
E,9720662,30975,1435892,CA
E,9720678,30976,1312152,CA
E,9720685,30977,95492,MA
E,9720687,30978,1455586,CA
E,9720701,30979,418798,KY
E,9720708,30980,22562,OR
E,9720710,30981,22544,OR
E,9720737,30982,1455542,CA
E,9720741,30983,22155,OR
E,9720742,30984,C222240,MO
E,9720747,30986,1414985,CA
E,9720751,30987,1412994,CA
E,9720771,30988,21722,OR
E,9720772,30989,03007938,MD
E,9720776,30990,1453827,CA
E,9720827,30991,227527,NY
E,9720838,31231,22279,OR
E,9720843,31439,101298,AZ
E,9720847,30994,1454601,CA
